legacy_url,destination_url,resolution_type,notes
/pretrained-workers/,/library/,exact_duplicate,Legacy directory consolidated into the canonical AI Employee Template Library
/pretrained-workers/competitor-intelligence-analyst/,/library/external-intel/competitor-intelligence-analyst/,exact_duplicate,Same active template record
/pretrained-workers/competitor-intelligence-analyst/hire/,/library/external-intel/competitor-intelligence-analyst/hire/,exact_duplicate,Legacy creation endpoint for the same active template record
/pretrained-workers/competitor-intelligence-analyst/spawn/,/library/external-intel/competitor-intelligence-analyst/spawn/,exact_duplicate,Legacy launch endpoint for the same active template record
/pretrained-workers/vendor-price-analyst/,/library/operations/vendor-price-analyst/,exact_duplicate,Same active template record
/pretrained-workers/vendor-price-analyst/hire/,/library/operations/vendor-price-analyst/hire/,exact_duplicate,Legacy creation endpoint for the same active template record
/pretrained-workers/vendor-price-analyst/spawn/,/library/operations/vendor-price-analyst/spawn/,exact_duplicate,Legacy launch endpoint for the same active template record
/pretrained-workers/public-safety-scout/,/library/risk-compliance/public-safety-scout/,exact_duplicate,Same active template record
/pretrained-workers/public-safety-scout/hire/,/library/risk-compliance/public-safety-scout/hire/,exact_duplicate,Legacy creation endpoint for the same active template record
/pretrained-workers/public-safety-scout/spawn/,/library/risk-compliance/public-safety-scout/spawn/,exact_duplicate,Legacy launch endpoint for the same active template record
/pretrained-workers/team-standup-coordinator/,/library/team-ops/team-standup-coordinator/,exact_duplicate,Same active template record
/pretrained-workers/team-standup-coordinator/hire/,/library/team-ops/team-standup-coordinator/hire/,exact_duplicate,Legacy creation endpoint for the same active template record
/pretrained-workers/team-standup-coordinator/spawn/,/library/team-ops/team-standup-coordinator/spawn/,exact_duplicate,Legacy launch endpoint for the same active template record
/pretrained-workers/incident-comms-scribe/,/library/operations/incident-comms-scribe/,exact_duplicate,Same active template record
/pretrained-workers/incident-comms-scribe/hire/,/library/operations/incident-comms-scribe/hire/,exact_duplicate,Legacy creation endpoint for the same active template record
/pretrained-workers/incident-comms-scribe/spawn/,/library/operations/incident-comms-scribe/spawn/,exact_duplicate,Legacy launch endpoint for the same active template record
/pretrained-workers/sales-pipeline-whisperer/,/library/revenue/sales-pipeline-whisperer/,exact_duplicate,Same active template record
/pretrained-workers/sales-pipeline-whisperer/hire/,/library/revenue/sales-pipeline-whisperer/hire/,exact_duplicate,Legacy creation endpoint for the same active template record
/pretrained-workers/sales-pipeline-whisperer/spawn/,/library/revenue/sales-pipeline-whisperer/spawn/,exact_duplicate,Legacy launch endpoint for the same active template record
/pretrained-workers/lead-hunter/,/library/sales/b2b-lead-research-agent/,content_merged,Prospecting intent and useful workflow details merged into the stronger library page
/pretrained-workers/lead-hunter/hire/,/library/sales/b2b-lead-research-agent/hire/,content_merged,Legacy creation endpoint moved to the merged template
/pretrained-workers/lead-hunter/spawn/,/library/sales/b2b-lead-research-agent/spawn/,content_merged,Legacy launch endpoint moved to the merged template
/pretrained-workers/account-researcher/,/library/sales/account-research-agent/,content_merged,Account enrichment intent and useful workflow details merged into the stronger library page
/pretrained-workers/account-researcher/hire/,/library/sales/account-research-agent/hire/,content_merged,Legacy creation endpoint moved to the merged template
/pretrained-workers/account-researcher/spawn/,/library/sales/account-research-agent/spawn/,content_merged,Legacy launch endpoint moved to the merged template
/pretrained-workers/talent-scout/,/library/recruiting/candidate-sourcing-agent/,content_merged,Candidate sourcing intent and useful workflow details merged into the stronger library page
/pretrained-workers/talent-scout/hire/,/library/recruiting/candidate-sourcing-agent/hire/,content_merged,Legacy creation endpoint moved to the merged template
/pretrained-workers/talent-scout/spawn/,/library/recruiting/candidate-sourcing-agent/spawn/,content_merged,Legacy launch endpoint moved to the merged template
/pretrained-workers/talent-sourcer/,/library/recruiting/candidate-sourcing-agent/,content_merged,Historical Talent Scout alias moved to the merged candidate sourcing template
/pretrained-workers/talent-sourcer/hire/,/library/recruiting/candidate-sourcing-agent/hire/,content_merged,Legacy alias creation endpoint moved to the merged template
/pretrained-workers/talent-sourcer/spawn/,/library/recruiting/candidate-sourcing-agent/spawn/,content_merged,Legacy alias launch endpoint moved to the merged template
/pretrained-workers/candidate-researcher/,/library/recruiting/candidate-researcher/,new_destination_required,A differentiated candidate enrichment library page was created
/pretrained-workers/candidate-researcher/hire/,/library/recruiting/candidate-researcher/hire/,new_destination_required,Legacy creation endpoint moved to the new differentiated template
/pretrained-workers/candidate-researcher/spawn/,/library/recruiting/candidate-researcher/spawn/,new_destination_required,Legacy launch endpoint moved to the new differentiated template
/pretrained-workers/outreach-agent/,/library/sales/outreach-agent/,new_destination_required,A differentiated human-approved outreach library page was created
/pretrained-workers/outreach-agent/hire/,/library/sales/outreach-agent/hire/,new_destination_required,Legacy creation endpoint moved to the new differentiated template
/pretrained-workers/outreach-agent/spawn/,/library/sales/outreach-agent/spawn/,new_destination_required,Legacy launch endpoint moved to the new differentiated template
/pretrained-workers/employee-onboarding-concierge/,/library/people/employee-onboarding-concierge/,exact_duplicate,Same active template record
/pretrained-workers/employee-onboarding-concierge/hire/,/library/people/employee-onboarding-concierge/hire/,exact_duplicate,Legacy creation endpoint for the same active template record
/pretrained-workers/employee-onboarding-concierge/spawn/,/library/people/employee-onboarding-concierge/spawn/,exact_duplicate,Legacy launch endpoint for the same active template record
/pretrained-workers/compliance-audit-sentinel/,/library/risk-compliance/compliance-audit-sentinel/,exact_duplicate,Same active template record
/pretrained-workers/compliance-audit-sentinel/hire/,/library/risk-compliance/compliance-audit-sentinel/hire/,exact_duplicate,Legacy creation endpoint for the same active template record
/pretrained-workers/compliance-audit-sentinel/spawn/,/library/risk-compliance/compliance-audit-sentinel/spawn/,exact_duplicate,Legacy launch endpoint for the same active template record
/pretrained-workers/customer-health-monitor/,/library/revenue/customer-health-monitor/,exact_duplicate,Same active template record
/pretrained-workers/customer-health-monitor/hire/,/library/revenue/customer-health-monitor/hire/,exact_duplicate,Legacy creation endpoint for the same active template record
/pretrained-workers/customer-health-monitor/spawn/,/library/revenue/customer-health-monitor/spawn/,exact_duplicate,Legacy launch endpoint for the same active template record
/pretrained-workers/real-estate-research-analyst/,/library/research/real-estate-research-analyst/,exact_duplicate,Same active template record
/pretrained-workers/real-estate-research-analyst/hire/,/library/research/real-estate-research-analyst/hire/,exact_duplicate,Legacy creation endpoint for the same active template record
/pretrained-workers/real-estate-research-analyst/spawn/,/library/research/real-estate-research-analyst/spawn/,exact_duplicate,Legacy launch endpoint for the same active template record
/pretrained-workers/project-manager/,/library/team-ops/project-manager/,exact_duplicate,Same active template record
/pretrained-workers/project-manager/hire/,/library/team-ops/project-manager/hire/,exact_duplicate,Legacy creation endpoint for the same active template record
/pretrained-workers/project-manager/spawn/,/library/team-ops/project-manager/spawn/,exact_duplicate,Legacy launch endpoint for the same active template record
/pretrained-workers/account-research-ai-agent/,/library/sales/account-research-agent/,exact_duplicate,Old resolver exposed the newer template by its internal code
/pretrained-workers/account-research-ai-agent/hire/,/library/sales/account-research-agent/hire/,exact_duplicate,Legacy creation endpoint for the newer template code
/pretrained-workers/account-research-ai-agent/spawn/,/library/sales/account-research-agent/spawn/,exact_duplicate,Legacy launch endpoint for the newer template code
/pretrained-workers/ai-agent-for-candidate-sourcing/,/library/recruiting/candidate-sourcing-agent/,exact_duplicate,Old resolver exposed the newer template by its internal code
/pretrained-workers/ai-agent-for-candidate-sourcing/hire/,/library/recruiting/candidate-sourcing-agent/hire/,exact_duplicate,Legacy creation endpoint for the newer template code
/pretrained-workers/ai-agent-for-candidate-sourcing/spawn/,/library/recruiting/candidate-sourcing-agent/spawn/,exact_duplicate,Legacy launch endpoint for the newer template code
